discipline,disciplineLabel,disciplineDescription
http://www.wikidata.org/entity/Q765633,aviation,human activity involving mechanical flight in atmosphere
http://www.wikidata.org/entity/Q107499540,aviation science,academic discipline for the scientific study of aviation and aircraft
http://www.wikidata.org/entity/Q4076591,ballet studies,discipline of dance studies
http://www.wikidata.org/entity/Q463604,baltistics,multidisciplinary study of the language and culture of the Baltic nations
http://www.wikidata.org/entity/Q3435731,banking,industry for financial institutions such as banks and credit unions
http://www.wikidata.org/entity/Q113141571,"banking, finance and investment studies",field of research
http://www.wikidata.org/entity/Q4869597,batrachology,branch of herpetology that studies amphibians
http://www.wikidata.org/entity/Q3919817,behavioral sciences,exploration of the cognitive processes within organisms and the behavioral interactions between organisms in the natural world
http://www.wikidata.org/entity/Q1204375,behavioural genetics,research investigating genetic-environment interactions influencing human behaviour
http://www.wikidata.org/entity/Q3578569,benthic ecology,"study of organisms that make up bottom communities (sediments, seagrass communities and rock outcrops) in lakes, streams, estuaries and oceans"
http://www.wikidata.org/entity/Q508069,biblical hermeneutics,study of the principles of interpretation concerning the books of the Bible
http://www.wikidata.org/entity/Q794605,biblical studies,set of scientific disciplines studying Bible texts
http://www.wikidata.org/entity/Q134995,bibliography,academic discipline that studies books
http://www.wikidata.org/entity/Q603441,bibliometrics,"statistical analysis of written publications, such as books or articles"
http://www.wikidata.org/entity/Q794611,bibliotherapy,form of supportive psychotherapy in which the patient is given selected material to read
http://www.wikidata.org/entity/Q4086949,biocenology,branch of biology concerned with the study of natural communities and the interaction of the members of such a community
http://www.wikidata.org/entity/Q7094,biochemistry,study of chemical processes in living organisms
http://www.wikidata.org/entity/Q111325032,biodiversity science,scientific discipline studying all aspects of biodiversity
http://www.wikidata.org/entity/Q580689,bioengineering,application of biology and engineering to create useful products
http://www.wikidata.org/entity/Q194294,bioethics,study of ethical issues in biology and medicine
http://www.wikidata.org/entity/Q9171867,biographistics,"writing biographies, biographic literature, literary science about biographies"
http://www.wikidata.org/entity/Q27172,biological anthropology,branch of anthropology that studies the physical development of the human species
http://www.wikidata.org/entity/Q420,biology,"scientific study of living things, especially their structure, function, growth, evolution, and distribution"
http://www.wikidata.org/entity/Q105582462,biology of colour,subdiscipline of biology that studies color in living organisms and its mediations
http://www.wikidata.org/entity/Q327092,biomedical engineering,application of engineering principles and design concepts to medicine and biology
http://www.wikidata.org/entity/Q13439429,biomedical sciences,"set of applied sciences applying portions of natural science or formal science, or both, to knowledge, interventions, or technology that are of use in healthcare or public health"
http://www.wikidata.org/entity/Q67364833,biometry,use of statistical and mathematical methods to analyze biological observations and phenomena
http://www.wikidata.org/entity/Q189131,bionics,application of biological methods and systems found in nature to the study and design of engineering systems and modern technology
http://www.wikidata.org/entity/Q7100,biophysics,study of biological systems using methods from the physical sciences
http://www.wikidata.org/entity/Q12535564,biospherology,science
http://www.wikidata.org/entity/Q7108,biotechnology,use of living systems and organisms to develop or make useful products
http://www.wikidata.org/entity/Q864896,biotypology,the study of biotypes
http://www.wikidata.org/entity/Q136352,bird anatomy,anatomy of birds
http://www.wikidata.org/entity/Q20514253,blockchain,distributed data store for digital transactions
http://www.wikidata.org/entity/Q130236442,blood physiology,the study of the physiology of blood
http://www.wikidata.org/entity/Q1416259,body psychotherapy,academic discipline
http://www.wikidata.org/entity/Q104373905,bog ecology,ecology of bogs
http://www.wikidata.org/entity/Q3707847,bookkeeping,recording and picking up business transactions
http://www.wikidata.org/entity/Q1195936,bootstrapping,self-starting process that is supposed to proceed without external input
http://www.wikidata.org/entity/Q441,botany,science of plant life
http://www.wikidata.org/entity/Q104373884,brackish water ecology,ecology of brackish waters
http://www.wikidata.org/entity/Q127601778,branch of economics,subdivision in the field of economics
http://www.wikidata.org/entity/Q22811234,branch of philosophy,subdivision of the field of philosophy
http://www.wikidata.org/entity/Q113135108,building industry studies,field of research
http://www.wikidata.org/entity/Q3741966,building science,academic discipline and scientific study of buildings
http://www.wikidata.org/entity/Q113129241,built environment and design studies,field of research
http://www.wikidata.org/entity/Q11418769,business (subject area),academic discipline in Japan
http://www.wikidata.org/entity/Q2043282,business administration,administration of the business transactions of a profit-oriented enterprise
http://www.wikidata.org/entity/Q5001829,business analytics,developing new insights and understanding of business performance based on data and statistical methods
http://www.wikidata.org/entity/Q4115749,business communication,process of sharing information between employees within and outside a company
http://www.wikidata.org/entity/Q1017569,business development,tasks and processes to develop and implement growth opportunities within and between organizations
http://www.wikidata.org/entity/Q126552,business informatics,science that deals with development and application of information and communication systems in business enterprises
http://www.wikidata.org/entity/Q3353185,business intelligence,techniques and tools for acquisition and transformation of raw data into meaningful and useful information for business analysis purposes
http://www.wikidata.org/entity/Q18564125,business management,academic discipline
http://www.wikidata.org/entity/Q8346141,business science,scientifically based study of economic and management sciences
http://www.wikidata.org/entity/Q168058,campanology,scientific and musical study of bells
http://www.wikidata.org/entity/Q85709956,cancer biology,study of the biological aspects of cancer
http://www.wikidata.org/entity/Q3421914,cancer research,"research into cancer to identify causes and develop strategies for prevention, diagnosis, treatment, and cure"
http://www.wikidata.org/entity/Q188462,canon law,ordinances and regulations made by Church leadership for the government of a Christian organization or church and its members
http://www.wikidata.org/entity/Q811590,canopy research,field of scientific research
http://www.wikidata.org/entity/Q5034471,capability management,management function aiming to balance economy in meeting current operational requirements sustainably and develop future capabilities
http://www.wikidata.org/entity/Q235007,cardiac surgery,surgery on the heart or great vessels
http://www.wikidata.org/entity/Q10379,cardiology,branch of medicine dealing with disorders of the heart as well as parts of the circulatory system
http://www.wikidata.org/entity/Q741939,career counseling,counseling focused on career-related issues
http://www.wikidata.org/entity/Q42515,cartography,science of maps
http://www.wikidata.org/entity/Q2941393,castellology,study of castles
http://www.wikidata.org/entity/Q24260742,catalanistics,academic discipline
http://www.wikidata.org/entity/Q113141551,catalysis and mechanisms of reactions,field of research
http://www.wikidata.org/entity/Q1735721,catechetics,scientific reflection about catechesis
http://www.wikidata.org/entity/Q104416694,cave ecology,ecology of caves
http://www.wikidata.org/entity/Q126368867,cecidiology,"branch of biology that is concerned with the galls produced on plants by insects, mites, and fungi"
http://www.wikidata.org/entity/Q7141,cell biology,scientific discipline that studies cells
http://www.wikidata.org/entity/Q1936199,ceramic engineering,"branch of engineering concerned with the development, production, and application of ceramic and ceramic products"
http://www.wikidata.org/entity/Q3010315,ceramology,scientific discipline that studies ceramics
http://www.wikidata.org/entity/Q113077033,characterisation of biological macromolecules,field of research
http://www.wikidata.org/entity/Q24002214,cheloniology,branch of herpetology devoted to the study of turtles and tortoises
http://www.wikidata.org/entity/Q700919,chemical ecology,study of chemicals involved in the interactions of living organisms
http://www.wikidata.org/entity/Q83588,chemical engineering,"branch of science that applies physical sciences and life sciences together with applied mathematics and economics to produce, transform, transport, and properly use chemicals, materials and energy"
http://www.wikidata.org/entity/Q911772,chemical technology,technology that processes or produces chemicals
http://www.wikidata.org/entity/Q2329,chemistry,"branch of physical science concerned with the composition, structure and properties of matter"
http://www.wikidata.org/entity/Q910067,chemometrics,science of extracting information from chemical systems by data-driven means
http://www.wikidata.org/entity/Q407784,child development,"biological, psychological and emotional changes in humans from birth to the end of adolescence"
http://www.wikidata.org/entity/Q1029430,child protection,"protecting children from violence, exploitation and abuse"
http://www.wikidata.org/entity/Q131539,children's literature,"stories, books, magazines, and poems that are primarily written for children"
http://www.wikidata.org/entity/Q131344592,chondrology,branch of anatomy concerned with cartilage
http://www.wikidata.org/entity/Q128284215,chromosomology,the branch of cytology devoted to study of the chromosomes
http://www.wikidata.org/entity/Q973297,chronostratigraphy,study of relative time relations and ages of rock layers
http://www.wikidata.org/entity/Q1800439,church history,academic discipline studying the history of Christianity
http://www.wikidata.org/entity/Q2089905,circuit theory,scientific theory describing the behavior of electrical networks/circuits
http://www.wikidata.org/entity/Q206276,citation analysis,mathematical and statistical bibliometric method used to explore scientific communication
http://www.wikidata.org/entity/Q1093434,citizen science,collaborative approach that involves members of the public in scientific research
http://www.wikidata.org/entity/Q106372013,civil engineering studies,field of study at university/college/institute/academy; for civil engineering use Q77590
http://www.wikidata.org/entity/Q1052890,civil procedural law,
http://www.wikidata.org/entity/Q949174,classical language,old language with established literature or use; may survive as a precursor to modern language
http://www.wikidata.org/entity/Q495527,classical philology,academic discipline
http://www.wikidata.org/entity/Q841090,classics,study of classical antiquity
http://www.wikidata.org/entity/Q30606503,climate change education,education that aims to address and develop effective responses to climate change
http://www.wikidata.org/entity/Q83420266,climate mitigation,set of mechanisms to address climate change
http://www.wikidata.org/entity/Q114602980,climate modeling,research field
http://www.wikidata.org/entity/Q52139,climatology,study of climate
http://www.wikidata.org/entity/Q4388032,clinical medicine,field of study
http://www.wikidata.org/entity/Q5133849,clinical research,medical research using human test subjects
http://www.wikidata.org/entity/Q106195625,coaching,training and organizing an athlete or sports team
http://www.wikidata.org/entity/Q104200509,coastal ecology,ecology of coasts and its ecosystems
http://www.wikidata.org/entity/Q126368892,coccidology,"branch of entomology that is concerned with the scales, mealybugs, and other members of the superfamily Coccoidea"
http://www.wikidata.org/entity/Q1338164,codicology,study of manuscripts
http://www.wikidata.org/entity/Q2200417,cognition,"mental action or process of acquiring knowledge and understanding through thought, experience, and the senses"
http://www.wikidata.org/entity/Q2668072,collection,set of purposely gathered physical or digital objects with some common characteristics
http://www.wikidata.org/entity/Q11540642,colonial studies,academic field
http://www.wikidata.org/entity/Q1320931,combinatorial game theory,branch of game theory about two-player sequential games with perfect information
http://www.wikidata.org/entity/Q1333872,combinatorial optimization,subset of mathematical optimization
http://www.wikidata.org/entity/Q12029903,comeniology,"study of life, views, contribution and works of Jan Amos Comenius"
http://www.wikidata.org/entity/Q131560888,cometology,the branch of astronomy concerned with comets
http://www.wikidata.org/entity/Q26643,commerce,large-scale organized system related to the exchange of goods and services
http://www.wikidata.org/entity/Q219186,commercial law,body of law that applies to persons and businesses engaged in commerce
http://www.wikidata.org/entity/Q1058691,communication disorder,"impairment affecting speech, language, or hearing that hinders the ability to effectively communicate"
http://www.wikidata.org/entity/Q1078351,communication science,schools of scientific research of human communication
http://www.wikidata.org/entity/Q11680831,communication studies,academic field that deals with processes of communication
http://www.wikidata.org/entity/Q83966,communication theory,field of information theory and mathematics that studies the technical process of information
http://www.wikidata.org/entity/Q5154949,community education,learning and social development within communities using a range of formal and informal methods
http://www.wikidata.org/entity/Q3473024,community health,field of public health focusing on the health of communities
http://www.wikidata.org/entity/Q67140949,community health service,"diagnostic, therapeutic and preventive health services provided for individuals in a community"
http://www.wikidata.org/entity/Q104777741,community services,services offering support to the public
http://www.wikidata.org/entity/Q2904159,comparative biology,
http://www.wikidata.org/entity/Q2708569,comparative history,the comparison of different societies which existed during the same time period or shared similar cultural conditions
http://www.wikidata.org/entity/Q878226,comparative linguistics,study of the relationships between two or more languages
http://www.wikidata.org/entity/Q207628,composed musical work,"original piece or work of music, either vocal or instrumental"
http://www.wikidata.org/entity/Q113114652,composite and hybrid materials,field of research
http://www.wikidata.org/entity/Q110852808,computational audiology,branch of audiology that employs techniques from mathematics and computer science to improve clinical treatments and scientific understanding of the auditory system
http://www.wikidata.org/entity/Q177005,computational biology,"data-analytical and theoretical methods, mathematical modeling and computational simulation techniques to the study of biological, behavioral, and social systems"
http://www.wikidata.org/entity/Q205084,computational complexity theory,"theoretical computer science and mathematics theory that classifies problems according to their inherent difficulty, and relates those classes to each other"
http://www.wikidata.org/entity/Q182557,computational linguistics,interdisciplinary field
http://www.wikidata.org/entity/Q5157340,computational statistics,interface between statistics and computer science
http://www.wikidata.org/entity/Q5157412,computer applications,one of several academic events sanctioned by the University Interscholastic League in the U.S. state of Texas
http://www.wikidata.org/entity/Q428691,computer engineering,engineering discipline specializing in the design of computer hardware and software systems
http://www.wikidata.org/entity/Q1122550,computer music,application of computing technology in music
http://www.wikidata.org/entity/Q10336440,computer networking,field of work within computer science that deals with connecting multiple computers
http://www.wikidata.org/entity/Q80006,computer programming,the process of designing and building an executable computer program to accomplish a specific computing result or to perform a specific task
http://www.wikidata.org/entity/Q21198,computer science,study of computation
http://www.wikidata.org/entity/Q11492827,computer science and engineering,academic program at many universities which comprises scientific and engineering aspects of computing
http://www.wikidata.org/entity/Q3510521,computer security,"the protection of computer systems and networks from theft, damage, misuse or data leak"
http://www.wikidata.org/entity/Q844240,computer vision,computerized information extraction from images
http://www.wikidata.org/entity/Q214781,condensed matter physics,branch of physics dealing with a property of matter
http://www.wikidata.org/entity/Q55659895,conflict analysis & resolution,
http://www.wikidata.org/entity/Q1194317,conflict resolution,methods and processes involved in facilitating the peaceful ending of conflict and retribution
http://www.wikidata.org/entity/Q1781444,conflict studies,
http://www.wikidata.org/entity/Q19367549,consciousness studies,academic field
http://www.wikidata.org/entity/Q628403,conservation,"ethical resource use, allocation, and protection"
http://www.wikidata.org/entity/Q641498,conservation biology,study of threats to biological diversity
http://www.wikidata.org/entity/Q5163001,conservation science,"interdisciplinary study of conservation of art, architecture, and other cultural works through the use of scientific inquiry"
http://www.wikidata.org/entity/Q2674423,construction engineering,"professional discipline dealing with the designing, planning, construction and management of infrastructures"
http://www.wikidata.org/entity/Q811501,construction management,professional service
http://www.wikidata.org/entity/Q186030,contemporary art,art produced from the 1940s to the present
http://www.wikidata.org/entity/Q12778074,control systems,
http://www.wikidata.org/entity/Q104376880,coral reef biology,biology of coral reefs
http://www.wikidata.org/entity/Q104376780,coral reef ecology,ecology of coral reefs
http://www.wikidata.org/entity/Q1134763,corporate finance,area of finance dealing with the sources of funding and the capital structure of corporations
http://www.wikidata.org/entity/Q2609670,corporate law,"body of law that applies to the rights, relations, and conduct of persons, companies, organizations and businesses"
http://www.wikidata.org/entity/Q113115825,correctional theory,field of research
http://www.wikidata.org/entity/Q3511129,corrosion engineering,technical discipline
http://www.wikidata.org/entity/Q2474068,cosmetology,study and application of beauty treatment
http://www.wikidata.org/entity/Q631942,cosmography,science that maps the general features of the cosmos or universe
http://www.wikidata.org/entity/Q338,cosmology,"scientific study of the origin, evolution, and eventual fate of the universe"
http://www.wikidata.org/entity/Q16331597,costume design,"creation of clothing and accessories to signal aspects of character in film, television, or theatre"
http://www.wikidata.org/entity/Q4390239,counseling,"act of therapy, coaching, advising, guiding, and listening, often in the psychological domain"
http://www.wikidata.org/entity/Q586060,creative writing,academic discipline concerned with creating literature
http://www.wikidata.org/entity/Q106597211,criminal justice,academic discipline
http://www.wikidata.org/entity/Q43504,criminalistics,the application of science to criminal and civil laws during criminal investigation
http://www.wikidata.org/entity/Q113115842,criminological theories,field of research
http://www.wikidata.org/entity/Q161733,criminology,study of the causes and manifestations of crime
http://www.wikidata.org/entity/Q131295143,critical policing studies,interdisciplinary academic field devoted to critically analysing police work and policing more generally
http://www.wikidata.org/entity/Q108352437,critical race studies,academic discipline
http://www.wikidata.org/entity/Q114342310,croatology,"interdisciplinary study of Croatian culture, language, history, identity and literature"
http://www.wikidata.org/entity/Q1283714,crop production,branch of agriculture
http://www.wikidata.org/entity/Q124628194,crowdsourced science,science of crowd sourcing
http://www.wikidata.org/entity/Q117613435,cryostratigraphy,study of the layers of frozen soil
http://www.wikidata.org/entity/Q8789,cryptography,practice and study of secure communication techniques
http://www.wikidata.org/entity/Q160398,crystallography,scientific study of crystal structures
http://www.wikidata.org/entity/Q28598,cultural anthropology,branch of anthropology focused on the study of cultural variation among humans
http://www.wikidata.org/entity/Q48785284,cultural management,
http://www.wikidata.org/entity/Q123637,cybernetics,theory of communication and control based on regulatory feedback
http://www.wikidata.org/entity/Q2905785,cyberpsychology,subfield of psychology concerned with the psychological effects and implications of computer and online technologies
http://www.wikidata.org/entity/Q465924,cynology,study of canines
http://www.wikidata.org/entity/Q131626874,cytherology,branch of astronomy which studies the planet Venus in all of its aspects
http://www.wikidata.org/entity/Q3009579,cytology,"branch of life science that deals with the study of cells in terms of structure, function and chemistry"
http://www.wikidata.org/entity/Q2393450,dance studies,academic discipline
http://www.wikidata.org/entity/Q104659521,data engineering,field for dealing with data processing pipelines
http://www.wikidata.org/entity/Q21572113,data entry and microcomputer applications,"type, use, and study of data-entry computer applications such as word processing, spreadsheets, and databases"
http://www.wikidata.org/entity/Q2330408,data mapping,process of linking data objects in distinct models
http://www.wikidata.org/entity/Q1757694,data quality,state of qualitative or quantitative pieces of information
http://www.wikidata.org/entity/Q1332873,data replication,making multiple copies of information to ensure consistency in computing
http://www.wikidata.org/entity/Q2374463,data science,field of study to extract insights from data
http://www.wikidata.org/entity/Q6504956,data visualization,creation and study of the visual representation of data
http://www.wikidata.org/entity/Q107643461,database management,academic discipline
http://www.wikidata.org/entity/Q4809258,database theory,theoretical realm of databases and database management systems
http://www.wikidata.org/entity/Q330268,decision support system,system that supports business or organizational decision-making processes
http://www.wikidata.org/entity/Q177571,decision theory,branch of applied probability theory
http://www.wikidata.org/entity/Q631931,decorative art,"arts or crafts concerned with the design and manufacture of functional, beautiful objects"
http://www.wikidata.org/entity/Q1965979,demographic statistics,"measures of the characteristics of, or changes to, a population"
http://www.wikidata.org/entity/Q37732,demography,science that deals with populations and their structures statistically and theoretically
http://www.wikidata.org/entity/Q12128,dentistry,branch of medicine dealing with oral health and teeth
http://www.wikidata.org/entity/Q904206,dermatoglyphics,Scientific study of finger- and toeprints
http://www.wikidata.org/entity/Q171171,dermatology,"branch of medicine dealing with the skin, its structure, functions, and diseases"
http://www.wikidata.org/entity/Q387196,description logic,family of formal knowledge representation languages
http://www.wikidata.org/entity/Q777864,descriptive linguistics,work of objectively describing the state of a linguistic system; as opposed to prescribing perceived norms of usage
http://www.wikidata.org/entity/Q82604,design,creation of a plan or convention for the construction of an object or a system; process of creation; act of creativity and innovation
http://www.wikidata.org/entity/Q2292993,design method,"set of procedures, techniques, aids, or tools for designing"
http://www.wikidata.org/entity/Q5264373,design research,subclass of research
http://www.wikidata.org/entity/Q41607440,design studies,academic field
http://www.wikidata.org/entity/Q1200711,design theory,subfield of design research
http://www.wikidata.org/entity/Q131344606,desmidiology,branch of botany that deals with desmids
http://www.wikidata.org/entity/Q126364739,desmology,branch of anatomy which concerns ligaments
http://www.wikidata.org/entity/Q1127188,development economics,economics of developing economies
http://www.wikidata.org/entity/Q18384059,diachronic comparative linguistics,
http://www.wikidata.org/entity/Q146893,dialectology,scientific study of linguistic dialect
http://www.wikidata.org/entity/Q98033961,didactics of computer science,teaching computer science
http://www.wikidata.org/entity/Q130261998,digestive physiology,the study of the physiology of the digestive system
http://www.wikidata.org/entity/Q17539496,digital art history,"research, study, teaching, publication, and other dissemination of information in the field of art history using digital technologies"
http://www.wikidata.org/entity/Q212805,digital library,online database of digital objects stored in electronic media formats and accessible via computers
http://www.wikidata.org/entity/Q1323528,digital marketing,marketing of products or services using digital technologies or digital tools
http://www.wikidata.org/entity/Q10334763,digital media,academic discipline
http://www.wikidata.org/entity/Q632897,digital preservation,"formal endeavor to ensure that digital information of continuing value remains accessible, trustworthy, and usable"
http://www.wikidata.org/entity/Q16246050,digital scholarship,"use of digital evidence, methods of inquiry, research, publication and preservation to achieve scholarly and research goals"
http://www.wikidata.org/entity/Q1889,diplomacy,art and practice of conducting negotiations between representatives of groups or states
http://www.wikidata.org/entity/Q3497519,directional statistics,subdiscipline of statistics
http://www.wikidata.org/entity/Q110342395,disability care,fulfillment of the special needs and requirements that are unique to those with disabilities
http://www.wikidata.org/entity/Q627208,disability studies,academic discipline
http://www.wikidata.org/entity/Q331662,disarmament,"act of reducing, limiting, or abolishing weapons"
http://www.wikidata.org/entity/Q12773591,discipline of pedagogy,
http://www.wikidata.org/entity/Q1129466,discourse analysis,"generic term for the analysis of social, language policy or historiographical discourse phenomena"
http://www.wikidata.org/entity/Q121416,discrete mathematics,study of discrete mathematical structures
http://www.wikidata.org/entity/Q5282696,dispute resolution,"act of resolving disputes, with techniques that can assist the resolution of antagonisms between parties that may include citizens, corporations, and governments"
http://www.wikidata.org/entity/Q5283178,distributed social network,Internet social networking service that is decentralized and distributed across distinct providers
http://www.wikidata.org/entity/Q938714,dogmatic theology,"part of theology dealing with the theoretical truths of faith concerning God and God’s works, especially the official theology recognized by an organized Church body"
http://www.wikidata.org/entity/Q1595873,domestic studies,"interdisciplinary research in geography, history, culture, politics, economy, ethnology and sociology, within a national, regional, or local context, in order to describe or explain its specificities"
http://www.wikidata.org/entity/Q28874013,drylands safety,"arid regions have little or no precipitation, presenting particular hazards to travellers"
http://www.wikidata.org/entity/Q8008,earth science,fields of science dealing with planet Earth and its nearby planets in space
http://www.wikidata.org/entity/Q106387954,earth science studies,field of studies in earth science
http://www.wikidata.org/entity/Q909789,earthquake engineering,interdisciplinary branch of engineering
http://www.wikidata.org/entity/Q223693,ecclesiology,theological study of the Christian Church
http://www.wikidata.org/entity/Q130111976,eccrinology,branch of physiology that deals with secretion and secretory organs
http://www.wikidata.org/entity/Q127420314,echinology,branch of zoology that deals with echinoderms
http://www.wikidata.org/entity/Q2363192,ecohydrology,interdisciplinary field studying the interactions between water and ecosystems
http://www.wikidata.org/entity/Q112309116,ecological epidemiology,research field
http://www.wikidata.org/entity/Q7150,ecology,scientific study of the relationships between living organisms
http://www.wikidata.org/entity/Q160039,econometrics,academic discipline
http://www.wikidata.org/entity/Q9150374,economic analysis,
http://www.wikidata.org/entity/Q27841,economic anthropology,"scholarly field that attempts to explain human economic behavior in its widest historic, geographic and cultural scope"
http://www.wikidata.org/entity/Q5333460,economic entomology,"branch of entomology that studies insects that benefit or harm humans, domestic animals, and crops"
http://www.wikidata.org/entity/Q853915,economic geology,"branch of geology concerning the scientific study of the formation, location, and use of marketable geologic materials including fuels, metals, minerals, and water."
http://www.wikidata.org/entity/Q47398,economic history,history studies focused on economics
http://www.wikidata.org/entity/Q112976881,economic models and forecasting,field of research
http://www.wikidata.org/entity/Q3391448,economic planning,economic planning by a centralized authority
http://www.wikidata.org/entity/Q582577,economic policy,actions that governments take in the economic field
http://www.wikidata.org/entity/Q8134,economics,"social science that studies the production, distribution, and consumption of goods and services"
http://www.wikidata.org/entity/Q55693902,economics and management,academic discipline consisting of economics and management
http://www.wikidata.org/entity/Q58038005,economics of insurance,
http://www.wikidata.org/entity/Q295425,ecophysiology,study of adaptation of a organism's physiology to environmental conditions
http://www.wikidata.org/entity/Q1412144,ecotoxicology,study of effects of released pollutants on the environment and biota
http://www.wikidata.org/entity/Q11857274,ecumenics,theological study of ecumenism
http://www.wikidata.org/entity/Q1285373,edition philology,philological study of editions
http://www.wikidata.org/entity/Q861689,education economics,academic discipline
http://www.wikidata.org/entity/Q452348,education policy,rules which govern schooling systems
http://www.wikidata.org/entity/Q5341232,education theory,subject of scholarly research
http://www.wikidata.org/entity/Q2585724,educational assessment,"systematic process of documenting and using empirical data on the knowledge, skill, attitudes, and beliefs to refine programs and improve student learning"
http://www.wikidata.org/entity/Q861455,educational management,"planning, organizing, directing, and controlling human or material resources in an educational setting, and the study of this process"
http://www.wikidata.org/entity/Q861499,educational planning,process of determining the activities required to achieve educational goals
http://www.wikidata.org/entity/Q861641,educational sciences,"also often called pedagogy; seeks to describe, understand, and prescribe education policy and practice"
http://www.wikidata.org/entity/Q8772471,educommunication,
http://www.wikidata.org/entity/Q200928,electric power transmission,bulk movement of electrical energy from a generating site to an electrical substation
http://www.wikidata.org/entity/Q113161574,electrical circuits and systems,field of research
http://www.wikidata.org/entity/Q43035,electrical engineering,"field of engineering that deals with electricity (its control and processing as information in electronic form, or during the control and generation of mechanical, magnetic, or other forms of energy; compare Q988785)"
http://www.wikidata.org/entity/Q383973,electricity generation,process of generating electrical power
http://www.wikidata.org/entity/Q131151532,electroanalytical chemistry,
http://www.wikidata.org/entity/Q2474620,electrochemical engineering,branch of engineering dealing with the technological applications of electrochemical phenomena
http://www.wikidata.org/entity/Q126095,electronic engineering,"electrical engineering discipline which utilizes nonlinear and active electrical components to design electronic circuits, devices, and their systems"
http://www.wikidata.org/entity/Q173167,electronic literature,literary genre consisting of works of literature that originate within digital environments and require digital computation
http://www.wikidata.org/entity/Q11650,electronics,"physics, engineering, technology and applications that deal with the emission, flow and control of electrons in vacuum and matter"
http://www.wikidata.org/entity/Q2255221,elocution,"study of formal speaking in pronunciation, grammar, style, and tone"
http://www.wikidata.org/entity/Q3724101,embryology of plants,
http://www.wikidata.org/entity/Q1460420,emergency management,"discipline of dealing with and avoiding both natural and man-made disasters, with the goal of reducing the harmful effects"
http://www.wikidata.org/entity/Q2861470,emergency medicine,medical specialty concerned with care for patients who require immediate medical attention
http://www.wikidata.org/entity/Q162606,endocrinology,medical specialty; branch of science concerned with the study of hormones
http://www.wikidata.org/entity/Q1341277,energy research,field of study
http://www.wikidata.org/entity/Q108375738,engineering,field of study at university/college/institute/academy
http://www.wikidata.org/entity/Q11023,engineering,applied science
http://www.wikidata.org/entity/Q113210443,engineering practice,field of research
http://www.wikidata.org/entity/Q1048431,enterprise architecture,area of expertise on the interaction of a company's business strategy and its ability to deliver it
http://www.wikidata.org/entity/Q64687285,enterprise computing,Academic discipline - use and manage information technology and systems to improve and re-design the way organisations do business.
http://www.wikidata.org/entity/Q17012245,entity linking,the task of assigning a unique identity to entities mentioned in text
http://www.wikidata.org/entity/Q39286,entomology,scientific study of insects
http://www.wikidata.org/entity/Q113141555,environment and climate finance,field of research
http://www.wikidata.org/entity/Q948732,environmental education,branch of pedagogy
http://www.wikidata.org/entity/Q146326,environmental engineering,professional engineering discipline related to environmental science
http://www.wikidata.org/entity/Q932068,environmental health,public health branch focused on environmental impacts on human health
http://www.wikidata.org/entity/Q113827235,environmental health sciences,subdiscipline within health sciences
http://www.wikidata.org/entity/Q328798,environmental law,"rules of law, promoting the protection of the natural environment"
http://www.wikidata.org/entity/Q11902944,environmental planning,process of decision making to carry out land development with the consideration given to the natural environment
http://www.wikidata.org/entity/Q919526,environmental policy,totality of the government efforts to promoting the protection of the natural environment
http://www.wikidata.org/entity/Q832237,environmental protection,"practice of protecting the natural environment by individuals, organizations and governments"
http://www.wikidata.org/entity/Q188847,environmental science,interdisciplinary field that studies human interaction with the environment
http://www.wikidata.org/entity/Q5381358,environmental social science,interaction of humans with the environment
http://www.wikidata.org/entity/Q2880775,enzymology,study of enzymes
http://www.wikidata.org/entity/Q1750812,ergonomics,study of designing equipment and devices that fit the human body and its cognitive abilities
http://www.wikidata.org/entity/Q9465,ethics,"branch of philosophy that systematizes, defends, and recommends concepts of right and wrong conduct"
http://www.wikidata.org/entity/Q4533017,ethnic anthropology,"field within ethnology for the study of ethnic groups and their cultures, social structures, heritages and identities"
http://www.wikidata.org/entity/Q41870,ethnic studies,academic field focused on ethnic communities and their culture
http://www.wikidata.org/entity/Q132151,ethnography,qualitative research design aimed at exploring cultural phenomena
http://www.wikidata.org/entity/Q43455,ethnology,branch of anthropology
http://www.wikidata.org/entity/Q208365,ethnomusicology,"study of music emphasizing cultural, social, material, cognitive, biological, and other dimensions"
http://www.wikidata.org/entity/Q1371415,ethnopharmacology,academic discipline
http://www.wikidata.org/entity/Q26237583,ethnopolitics,academic discipline
http://www.wikidata.org/entity/Q7155,ethology,scientific study of animal behavior
http://www.wikidata.org/entity/Q1371704,etruscology,"study of ancient Etruscan civilization, antiquities, language, etc."
http://www.wikidata.org/entity/Q2313085,evolutionary linguistics,sociobiological approaches to linguistics
http://www.wikidata.org/entity/Q219695,evolutionary psychology,branch of psychology
http://www.wikidata.org/entity/Q113207671,excited state chemistry,chemical study of excited states
http://www.wikidata.org/entity/Q3809431,exoplanetology,integrated field of astronomical science
http://www.wikidata.org/entity/Q18366,experimental physics,category of disciplines and sub-disciplines concerned with the observation of physical phenomena
http://www.wikidata.org/entity/Q7958,explanation,set of statements constructed to describe a set of facts
http://www.wikidata.org/entity/Q1202243,exploration geophysics,applied branch of geophysics and economic geology
http://www.wikidata.org/entity/Q970687,eye tracking,measuring the point of gaze or motion of an eye relative to the head
